county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting_county
Cumberland,Cumberland,election,https://www.cumberlandmaine.com/election,,"Town council, school board",https://www.cumberlandmaine.com/electionjune2021,Election details,Cumberland
Cumberland,Falmouth,election,https://www.falmouthme.org/town-clerk/pages/election-information,,,"Town council, school board, school budget",specimenballot6.8.21.pdf,Cumberland
Cumberland,Freeport,election,https://www.freeportmaine.com/town-clerk/pages/election-services,Town Hall - outside the main entrance at 30 Main Street before Election Day. Ballots returned on Election Day must be returned in person to the high school gym at 30 Holbrook Street.,School budget,https://www.rsu5.org/Content2/budget2022,Budget details,Cumberland
Cumberland,Frye Island,town,http://www.fryeisland.com/,,,,,Cumberland
Cumberland,Gorham,election,https://www.gorham-me.org/town-clerk/pages/annual-municipal-election,Municipal Center,school budget,,,Cumberland
Cumberland,Gray,election,https://www.graymaine.org/elections,,"3 offices, 13 articles, school budget",https://www.graymaine.org/sites/g/files/vyhlif631/f/uploads/2021-06-08_sample_ballots.pdf,Sample ballots,Cumberland
Cumberland,Harpswell,election,https://www.harpswell.maine.gov/index.asp?SEC=49346E07-DA84-4C68-BD02-EAC23C5B5A18&Type=B_BASIC,Town Office - in front,20 articles,https://www.harpswell.maine.gov/vertical/Sites/%7B3F690C92-5208-4D62-BAFB-2559293F6CAE%7D/uploads/june_8_2021_ballots.pdf,Sample ballots,Cumberland
Cumberland,Harrison,election,https://www.harrisonmaine.org/index.asp?SEC=4CAFBDBB-36BE-4517-948F-BA6571E11ADE&DE=84D5F5E9-5D93-49A4-8E88-3F66B3086CB6&Type=B_BASIC,,"Selectmen, planning board, appeals board, school board",,,Cumberland
Cumberland,Long Island,election,http://townoflongisland.us/wp/?page_id=181,,,,,Cumberland
Cumberland,Naples,town,https://www.townofnaples.org/,,town meeting was 4-29-2021,,,Cumberland
Cumberland,New Gloucester,election,https://www.newgloucester.com/index.asp?Type=B_BASIC&SEC={AB7D0D21-9C89-4C15-9D6F-DE687764863E},,,,,Cumberland
Cumberland,North Yarmouth,election,https://www.northyarmouth.org/town-clerk/pages/elections-voter-registration,Town Office - inside,town meeting will be 6-19-2021; 42 articles,https://www.northyarmouth.org/sites/g/files/vyhlif1006/f/uploads/nytownmeeting_warrant_fy22_-_final_0.pdf,Town meeting warrant,Cumberland
Cumberland,Portland,election,https://www.portlandmaine.gov/325/Elections-Voting,Merrill Auditorium lobby,"Charter commission, school budget",,,Cumberland
Cumberland,Pownal,election,https://www.pownalmaine.org/index.asp?Type=B_LIST&SEC={3290832E-1DCD-43A2-B2C3-331F9445751F},Town Office - outside,"Select board, cemetery commissioner, school district director, school budget",https://www.pownalmaine.org/index.asp?SEC=0B5EC261-AE2B-49C7-80C1-2F6FC059EA2E&DE=B00E14D1-360D-476C-9FA5-F4CD086BD152,Sample ballots,Cumberland
Cumberland,Raymond,election,https://www.raymondmaine.org/town-office/voters/elections,,Town meeting & municipal election,https://www.raymondmaine.org/town-office/voters/elections,Town meeting warrant and notice of election,Cumberland
Cumberland,Scarborough,election,https://www.scarboroughmaine.org/departments/town-clerk/elections/,,June 15: School budget validation,,,Cumberland
Cumberland,Sebago,town,https://www.townofsebago.org/,,"3 articles, 5 candidates, school budget",https://www.townofsebago.org/,Town meeting and school budget warrants and sample ballot,Cumberland
Cumberland,South Portland,election,https://www.southportland.org/departments/city-clerk/november-3-2015-election,,School budget validation,,,Cumberland
Cumberland,Standish,election,https://www.standish.org/town-clerk/pages/election-general-information,,"School board, school budget",https://www.standish.org/town-clerk/pages/june-8-2021-election-information,Election details,Cumberland
Cumberland,Westbrook,election,https://www.westbrookmaine.com/181/Elections-Voting,In front of City Hall at 2 York Street,School budget,https://www.westbrookmaine.com/208/Upcoming-Election-Information,Election details,Cumberland
Cumberland,Windham,election,http://www.windhammaine.us/125/Voter-Information,,School budget,,,Cumberland
Cumberland,Yarmouth,election,https://yarmouth.me.us/elections,,"Town and school budget, school committee, water district trustees",https://yarmouth.me.us/vertical/sites/%7B27541806-6670-456D-9204-5443DC558F94%7D/uploads/Municipal_Sample_ballot_June_8_2021_05102021162043_(002).pdf,Sample ballot,Cumberland
Franklin,Avon,contact info,https://www.maine.gov/local/town.php?t=Avon,,,,,Franklin
Franklin,Carrabassett Valley,town,http://www.carrabassettvalley.org/,,,,,Franklin
