county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting_county
Lincoln,Bristol,election,https://www.bristolmaine.org/town-clerk/pages/elections,Town Hall - to the left of the front door,,,,Lincoln
Lincoln,Damariscotta,election,https://www.damariscottame.com/town-clerk/pages/elections,,,,,Lincoln
Lincoln,Dresden,town,https://dresdenme.org/,,,,,Lincoln
Lincoln,Edgecomb,town,https://edgecomb.org/,,,,,Lincoln
Lincoln,Jefferson,election,https://jeffersonmaine.org/election-information/,,,,,Lincoln
Lincoln,Monhegan Island Plantation,town,https://monheganplantation.gov/,,,,,Lincoln
Lincoln,Newcastle,election,https://www.newcastlemaine.us/town-clerk/pages/election-information,,,,,Lincoln
Lincoln,Nobleboro,election,https://www.nobleboro.maine.gov/index.asp?SEC=67EBFAF5-F8EA-425F-B95E-A9E91456E085,,,,,Lincoln
Lincoln,Somerville,town,https://www.somervillemaine.org/,,,,,Lincoln
Lincoln,South Bristol,town,https://sbristolme.gov/,,,,,Lincoln
Lincoln,Southport,town,https://www.townofsouthport.org/,,,,,Lincoln
Lincoln,Waldoboro,election,https://www.waldoboromaine.org/departments/town_clerk/voting_information/index.php,,,,,Lincoln
Lincoln,Westport Island,town,https://www.westportisland.gov/,,,,,Lincoln
Lincoln,Whitefield,election,https://townofwhitefield.com/election-information/,,,,,Lincoln
Lincoln,Wiscasset,town,https://www.wiscasset.gov/,,,,,Lincoln
Oxford,Andover,town,https://www.andovermaine.org/,,,,,Oxford
Oxford,Bethel,town,https://bethelmaine.org/,,,,,Oxford
Oxford,Brownfield,town,https://www.brownfieldmaine.gov/,,,,,Oxford
Oxford,Buckfield,town,https://www.buckfield.maine.gov/,,,,,Oxford
Oxford,Byron,Facebook,https://www.facebook.com/Town-of-Byron-Maine-559875007809068/,,,,,Oxford
Oxford,Canton,town,https://www.cantonme.com/,,,,,Oxford
Oxford,Denmark,election,https://denmarkmaine.org/pages/town-services,,,,,Oxford
Oxford,Dixfield,town,https://dixfield.org/,,,,,Oxford
Oxford,Fryeburg,town,https://www.fryeburgmaine.org/,,,,,Oxford
Oxford,Gilead,Facebook,https://www.facebook.com/pages/category/Government-Organization/Gilead-Town-Office-614214438918965/,,,,,Oxford
Oxford,Greenwood,town,https://www.greenwoodmaine.org/,,,,,Oxford
Oxford,Hanover,town,https://hanoverme.org/,,,,,Oxford
Oxford,Hartford,town,https://hartfordmaine.weebly.com/,,,,,Oxford
Oxford,Hebron,election,https://hebronmaine.org/committees-other-officials/election-faqs/,,,,,Oxford
Oxford,Hiram,election,https://townofhiram.org/elections,,,,,Oxford
Oxford,Lincoln Plantation,contact info,http://mainegov-images.informe.org/local/town.php?t=Lincoln%20Plt,,,,,Oxford
Oxford,Lovell,town,https://www.lovellmaine.org/,,,,,Oxford
Oxford,Magalloway Plantation,Facebook,https://www.facebook.com/pages/Magalloway-Plantation-Maine/109272282425174,,,,,Oxford
Oxford,Mason Township,(Oxford County unorganized territories),https://www.oxfordcounty.org/unorg-territory,,,,,Oxford
Oxford,Mexico,town,https://mexicomaine.net/,,,,,Oxford
Oxford,Milton Township,(Oxford County unorganized territories),https://www.oxfordcounty.org/unorg-territory,,,,,Oxford
Oxford,Newry,town,https://newrymaine.org/,,,,,Oxford
Oxford,North Oxford Unorganized Territories,(Oxford County unorganized territories),https://www.oxfordcounty.org/unorg-territory,,,,,Oxford
Oxford,Norway,election,https://norwaymaine.com/?page_id=115,,,,,Oxford
Oxford,Otisfield,election,https://www.otisfieldme.gov/town-clerk/pages/voting-election-information,,,,,Oxford
Oxford,Oxford,town,https://www.oxfordmaine.org/,Town Office,,,,Oxford
Oxford,Paris,town,https://parismaine.org/clerks-office/elections-voting/,,,,,Oxford
Oxford,Peru,town,https://townofperumaine.org/,,,,,Oxford
Oxford,Porter,election,https://portermaine.org/voter-reg-%26-elections,,,,,Oxford
Oxford,Roxbury,town,https://www.roxburymaine.com/index.php,,,,,Oxford
Oxford,Rumford,town,https://rumfordme.org/,,,,,Oxford
Oxford,South Oxford Unorganized Territory,Facebook,https://www.facebook.com/pages/South-Oxford-Maine/139309962754460,,,,,Oxford
Oxford,Stoneham,town,https://stoneham-maine.com/default.html,,,,,Oxford
Oxford,Stow,town,https://www.stowmaine.us/#!,,,,,Oxford
Oxford,Sumner,town,https://www.townofsumner.me/,,,,,Oxford
Oxford,Sweden,election,https://swedenmaine.org/voter-registration/,,,,,Oxford
Oxford,Upton,contact info,http://mainegov-images.informe.org/local/town.php?t=Upton,,,,,Oxford
Oxford,Waterford,town,https://waterfordme.org/index.php,,,,,Oxford
Oxford,West Paris,election,https://westparisme.com/pages/elections,,,,,Oxford
Oxford,Woodstock,town,https://www.woodstockmaine.org/,,,,,Oxford
Penobscot,Alton,town,https://www.altonmaine.org/,,,,,Penobscot
Penobscot,Argyle,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,,,,Penobscot
Penobscot,Bangor,election,https://www.bangormaine.gov/191/Voting-Elections,City Hall,,,,Penobscot
Penobscot,Bradford,town,https://www.bradfordme.org/,,,,,Penobscot
Penobscot,Bradley,election,https://www.townofbradley.net/voter-information/,Municipal Building,,,,Penobscot
Penobscot,Brewer,election,https://brewermaine.gov/city-clerk/register-to-vote/,,,,,Penobscot
Penobscot,Burlington,town,https://burlingtonme.com/,,,,,Penobscot
Penobscot,Carmel,town,https://townofcarmel.org/,,,,,Penobscot
Penobscot,Carroll Plantation,Facebook,https://www.facebook.com/pages/Carroll-Plantation-Town-Offices/1504687936419080,,,,,Penobscot
Penobscot,Cedar Lake Township,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,,,,Penobscot
Penobscot,Charleston,town,https://www.charlestonmaine.com/,,,,,Penobscot
Penobscot,Chester,town,https://chesterme.org/,,,,,Penobscot
Penobscot,Clifton,town,https://cliftonme.com/,,,,,Penobscot
Penobscot,Corinna,election,https://corinna.govoffice.com/index.asp?SEC=E47FF968-670B-444E-A6C7-0BCFCAAA3ADA&Type=B_BASIC,,,,,Penobscot
Penobscot,Corinth,election,https://www.townofcorinth.com/voting-elections,,,,,Penobscot
Penobscot,Dexter,town,https://www.dextermaine.org/,,,,,Penobscot
