county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting county
,Farmington,election,https://www.farmington-maine.org/voting-and-elections,,,,,Franklin
,Industry,town,https://www.townofindustry.com/?fbclid=IwAR3ULakS5ZFcjydfwY8IPYtBiLl1R7D11v_eQc6VYBPzKl29NAnz0gFZATE,,,,,Franklin
,Jay,town,http://www.jay-maine.org/,,,,,Franklin
,Kingfield,election,http://www.kingfield.me/1005-2/,,,,,Franklin
,New Sharon,town,https://www.newsharon.maine.gov/,,,,,Franklin
,New Vineyard,town,http://www.newvineyardme.org/,,,,,Franklin
,Phillips,town,http://www.phillipsmaine.com/,,,,,Franklin
,Rangeley,election,https://townofrangeley.com/185/Elections-Voter-Registration,,,,,Franklin
,Rangeley Plantation,contact info,https://www.maine.gov/local/town.php?t=Rangeley%20Plt,,,,,Franklin
,Sandy River Plantation,contact info,https://www.maine.gov/local/town.php?t=Sandy%20River%20Plt,,,,,Franklin
,Strong,town,http://strongmaine.com/,,,,,Franklin
,Temple,town,https://townoftemple.org/?fbclid=IwAR3pyJXsu2LQvxIpDx2paoXqPwlFMHMfraJdB9IMHMspf1bhzCWqyWkeaqo,,,,,Franklin
,Weld,town,http://www.weld-maine.org/,,,,,Franklin
,Wilton,town,http://www.wiltonmaine.org,,,,,Franklin
Hancock,,county,https://co.hancock.me.us/site/index.php,,,,,Hancock
,Amherst,town,http://amherstmaine.org/,,,,,Hancock
,Aurora,contact info,https://www.maine.gov/local/town.php?t=Aurora,,,,,Hancock
,Bar Harbor,election,http://www.barharbormaine.gov/130/Elections---General-Info,,,,,Hancock
,Blue Hill,election,https://www.townofbluehillmaine.org/-voting,,,,,Hancock
,Brooklin,town,https://www.brooklinmaine.com/,,,,,Hancock
,Brooksville,town,https://www.brooksvillemaine.org/,,,,,Hancock
,Bucksport,election,https://www.bucksportmaine.gov/index.asp?Type=B_BASIC&SEC={8253A310-60E6-4438-A35F-2009D623A8A9},,,,,Hancock
,Castine,town,https://castine.me.us/,,,,,Hancock
,Cranberry Isles,town,https://www.cranberryisles-me.gov/,,,,,Hancock
,Dedham,election,https://www.dedhamme.org/index.asp?SEC=F6196C83-D62F-40DC-BF35-13F815190E14&Type=B_BASIC,,,,,Hancock
,Deer Isle,town,https://www.townofdeerisle.org/,Town Office,,,,Hancock
,Eastbrook,town,https://www.eastbrookme.com/,,,,,Hancock
,Ellsworth,election,https://www.ellsworthmaine.gov/services/voter-registration/#ffs-tabbed-11,Church Street entrance lobby of City Hall,,,,Hancock
,Fletcher's Landing Township,election,https://www.ellsworthmaine.gov/services/voter-registration/#ffs-tabbed-11,Church Street entrance lobby of City Hall,,,,Hancock
,Franklin,town,https://www.franklinmaine.com/site/,,,,,Hancock
,Frenchboro,town,http://frenchboro.maine.gov/,,,,,Hancock
,Gouldsboro,town,http://www.gouldsborotown.com/,,,,,Hancock
,Great Pond,town,https://www.emainehosting.com/TownofGreatPond/,,,,,Hancock
,Hancock,election,https://hancockmaine.org/town-clerk/elections/,,,,,Hancock
,Lamoine,town,http://www.lamoine-me.gov/,,,,,Hancock
,Mariaville,town,https://mariaville.govoffice.com/,,,,,Hancock
,Mount Desert,election,https://www.mtdesert.org/town-clerk/pages/elections-voting,,,,,Hancock
,Orland,town,http://www.orlandme.org/,,,,,Hancock
,Osborn,town,https://www.emainehosting.com/OsbornMaine/,,,,,Hancock
,Otis,town,http://www.townofotis.com/,,,,,Hancock
,Penobscot,town,http://www.penobscot-maine.com/,,,,,Hancock
,Sedgwick,town,https://www.sedgwickmaine.org/,,,,,Hancock
,Sorrento,contact info,https://www.countyoffice.org/sorrento-town-hall-sorrento-me-b47/,,,,,Hancock
,Southwest Harbor,town,http://www.southwestharbormaine.org/,,,,,Hancock
,Stonington,town,https://www.stoningtonmaine.org/,,,,,Hancock
,Sullivan,town,https://sullivanmaine.org/,,,,,Hancock
,Surry,election,https://www.townofsurrymaine.com/departments/elections/index.php,,,,,Hancock
,Swans Island,town,http://swansisland.org/,,,,,Hancock
,Tremont,town,http://tremont.maine.gov/,,,,,Hancock
,Trenton,town,https://www.trentonme.com/,,,,,Hancock
,Verona Island,town,http://www.veroname.org/,,,,,Hancock
,Waltham,contact info,https://www.maine.gov/local/town.php?t=Waltham,,,,,Hancock
,Winter Harbor,town,https://winterharbortown.com/,,,,,Hancock
Kennebec,,county,https://kennebeccounty.org/,,,,,Kennebec
,Albion,town,https://townofalbionmaine.com/,,,,,Kennebec
,Augusta,election,http://www.augustamaine.gov/businesses/city_government/elections.php,,,,,Kennebec
,Belgrade,election,https://www.townofbelgrade.com/voterregistration,Town Office,,,,Kennebec
,Benton,election,https://www.bentonmaine.info/town-clerk---elections.html,,,,,Kennebec
,Chelsea,town,https://chelseamaine.org/,,,,,Kennebec
,China,election,https://china.govoffice.com/elections,,,,,Kennebec
,Clinton,town,http://www.clinton-me.us,,,,,Kennebec
,Farmingdale,election,https://www.farmingdalemaine.org/index.asp?SEC=645DE9BE-E94D-4525-BF14-931B69726E98&Type=B_BASIC,,,,,Kennebec
,Fayette,town,https://www.fayettemaine.org/,,,,,Kennebec
,Gardiner,election,https://www.gardinermaine.com/office-city-clerk/pages/voting-elections,"Outside the door to City Hall, facing the parking lot",,,,Kennebec
,Hallowell,election,https://hallowell.govoffice.com/index.asp?Type=B_BASIC&SEC=%7B49BCD9B5-12A8-43C1-96FA-2F515E9100E9%7D,,,,,Kennebec
,Litchfield,election,https://www.litchfieldmaine.org/town-government/town-meeting/,,,,,Kennebec
,Manchester,town,http://www.manchester.govoffice2.com/,,,,,Kennebec
,Monmouth,town,http://www.monmouthme.org,,,,,Kennebec
,Mount Vernon,town,http://www.mtvernonme.org/,,,,,Kennebec
,Oakland,town,http://www.oaklandmaine.us/,,,,,Kennebec
,Pittston,election,https://www.pittstonmaine.org/index.asp?SEC=818A26C9-10C8-49E9-8BD1-801ED9DA4F23&Type=B_BASIC,,,,,Kennebec
,Randolph,election,https://www.randolphmaine.org/index.asp?SEC=0D417703-B12A-45DC-93E0-C12009065FCB&Type=B_BASIC,,,,,Kennebec
,Readfield,election,https://www.readfieldmaine.org/votingelectionstown-mtg,,,,,Kennebec
,Rome,election,https://romemaine.com/departments/clerk/,,,,,Kennebec
,Sidney,election,https://www.sidneymaine.org/index.php/town-business/elections-voting-information.html,,,,,Kennebec
,Vassalboro,town,http://www.vassalboro.net,,,,,Kennebec
,Vienna,town,http://www.viennamaine.org,,,,,Kennebec
,Waterville,election,http://www.waterville-me.gov/clerk/general-election-information-2/,,,,,Kennebec
,Wayne,election,https://www.waynemaine.org/index.asp?SEC=43D7D0BA-39F4-4F39-9A5A-7E6A6771A5F0&Type=B_LIST,,,,,Kennebec
,West Gardiner,election,https://www.westgardinermaine.org/index.asp?SEC=0179D3F9-2CBC-49BF-890C-7999303630A9&Type=B_BASIC,,,,,Kennebec
,Windsor,town,http://windsor.maine.gov/,,,,,Kennebec
,Winslow,town,http://www.winslow-me.gov/,,,,,Kennebec
